"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:20:00.000,-72.050,171.065,1469.340389,0.050662,0.033803,-0.011152
14 Mar 2023 04:21:00.000,-69.001,172.772,1468.621534,0.051031,0.023925,-0.012812
14 Mar 2023 04:22:00.000,-65.935,174.001,1467.807644,0.051278,0.017534,-0.014320
14 Mar 2023 04:23:00.000,-62.856,174.913,1466.908350,0.051455,0.013175,-0.015659
14 Mar 2023 04:24:00.000,-59.768,175.604,1465.934303,0.051590,0.010076,-0.016812
14 Mar 2023 04:25:00.000,-56.672,176.136,1464.897050,0.051697,0.007799,-0.017766
14 Mar 2023 04:26:00.000,-53.571,176.549,1463.808902,0.051786,0.006081,-0.018508
14 Mar 2023 04:27:00.000,-50.465,176.872,1462.682787,0.051862,0.004755,-0.019031
14 Mar 2023 04:28:00.000,-47.354,177.124,1461.532101,0.051929,0.003713,-0.019327
14 Mar 2023 04:29:00.000,-44.240,177.320,1460.370547,0.051989,0.002883,-0.019393
14 Mar 2023 04:30:00.000,-41.122,177.472,1459.211976,0.052044,0.002212,-0.019228
14 Mar 2023 04:31:00.000,-38.001,177.587,1458.070220,0.052093,0.001665,-0.018833
14 Mar 2023 04:32:00.000,-34.878,177.672,1456.958927,0.052139,0.001216,-0.018212
14 Mar 2023 04:33:00.000,-31.751,177.733,1455.891395,0.052180,0.000845,-0.017374
14 Mar 2023 04:34:00.000,-28.623,177.774,1454.880415,0.052218,0.000538,-0.016327
14 Mar 2023 04:35:00.000,-25.492,177.798,1453.938114,0.052252,0.000284,-0.015085
14 Mar 2023 04:36:00.000,-22.359,177.808,1453.075806,0.052282,0.000075,-0.013661
14 Mar 2023 04:37:00.000,-19.225,177.807,1452.303854,0.052309,-0.000097,-0.012072
14 Mar 2023 04:38:00.000,-16.089,177.796,1451.631545,0.052332,-0.000235,-0.010339
14 Mar 2023 04:39:00.000,-12.952,177.778,1451.066971,0.052351,-0.000344,-0.008481
14 Mar 2023 04:40:00.000,-9.813,177.754,1450.616933,0.052366,-0.000427,-0.006521
14 Mar 2023 04:41:00.000,-6.674,177.726,1450.286856,0.052377,-0.000485,-0.004482
14 Mar 2023 04:42:00.000,-3.535,177.695,1450.080719,0.052384,-0.000521,-0.002389
14 Mar 2023 04:43:00.000,-0.395,177.663,1450.001010,0.052387,-0.000535,-0.000268
14 Mar 2023 04:44:00.000,2.745,177.631,1450.048688,0.052385,-0.000527,0.001857
14 Mar 2023 04:45:00.000,5.884,177.600,1450.223180,0.052379,-0.000497,0.003960
14 Mar 2023 04:46:00.000,9.024,177.571,1450.522380,0.052369,-0.000444,0.006014
14 Mar 2023 04:47:00.000,12.162,177.546,1450.942681,0.052355,-0.000367,0.007996
14 Mar 2023 04:48:00.000,15.299,177.526,1451.479016,0.052337,-0.000265,0.009882
14 Mar 2023 04:49:00.000,18.436,177.514,1452.124924,0.052315,-0.000134,0.011649
14 Mar 2023 04:50:00.000,21.571,177.510,1452.872627,0.052290,0.000028,0.013276
14 Mar 2023 04:51:00.000,24.704,177.517,1453.713130,0.052260,0.000228,0.014743
14 Mar 2023 04:52:00.000,27.835,177.537,1454.636328,0.052227,0.000470,0.016032
14 Mar 2023 04:53:00.000,30.964,177.573,1455.631135,0.052190,0.000763,0.017130
14 Mar 2023 04:54:00.000,34.091,177.628,1456.685614,0.052149,0.001116,0.018022
14 Mar 2023 04:55:00.000,37.216,177.707,1457.787129,0.052105,0.001544,0.018698
14 Mar 2023 04:56:00.000,40.337,177.814,1458.922492,0.052056,0.002064,0.019150
14 Mar 2023 04:57:00.000,43.456,177.956,1460.078129,0.052003,0.002700,0.019374
14 Mar 2023 04:58:00.000,46.571,178.140,1461.240239,0.051945,0.003487,0.019366
14 Mar 2023 04:59:00.000,49.682,178.377,1462.394959,0.051880,0.004469,0.019127
14 Mar 2023 05:00:00.000,52.790,178.680,1463.528535,0.051806,0.005715,0.018661
14 Mar 2023 05:01:00.000,55.892,179.068,1464.627477,0.051721,0.007322,0.017973
14 Mar 2023 05:02:00.000,58.989,179.567,1465.678725,0.051619,0.009438,0.017071
14 Mar 2023 05:03:00.000,62.079,-179.787,1466.669800,0.051492,0.012298,0.015967
14 Mar 2023 05:04:00.000,65.161,-178.938,1467.588948,0.051328,0.016284,0.014673
14 Mar 2023 05:05:00.000,68.231,-177.800,1468.425282,0.051102,0.022063,0.013206
14 Mar 2023 05:06:00.000,71.285,-176.234,1469.168902,0.050771,0.030864,0.011583
14 Mar 2023 05:07:00.000,74.313,-173.994,1469.811015,0.050243,0.045157,0.009822
14 Mar 2023 05:08:00.000,77.300,-170.608,1470.344033,0.049314,0.070419,0.007946
14 Mar 2023 05:09:00.000,80.207,-165.073,1470.761660,0.047440,0.120415,0.005976
14 Mar 2023 05:10:00.000,82.936,-154.945,1471.058967,0.042895,0.234127,0.003935
14 Mar 2023 05:11:00.000,85.177,-133.822,1471.232447,0.029342,0.505666,0.001848
14 Mar 2023 05:12:00.000,86.003,-94.057,1471.280052,-0.004993,0.737624,-0.000261
14 Mar 2023 05:13:00.000,84.704,-58.452,1471.201221,-0.034260,0.418893,-0.002367
14 Mar 2023 05:14:00.000,82.288,-40.990,1470.996885,-0.044471,0.195979,-0.004445
14 Mar 2023 05:15:00.000,79.499,-32.376,1470.669452,-0.048049,0.104354,-0.006470
14 Mar 2023 05:16:00.000,76.567,-27.518,1470.222788,-0.049601,0.062637,-0.008420
14 Mar 2023 05:17:00.000,73.568,-24.480,1469.662166,-0.050400,0.040895,-0.010269
14 Mar 2023 05:18:00.000,70.532,-22.438,1468.994206,-0.050866,0.028304,-0.011998
14 Mar 2023 05:19:00.000,67.473,-20.995,1468.226805,-0.051166,0.020414,-0.013584
14 Mar 2023 05:20:00.000,64.400,-19.940,1467.369038,-0.051373,0.015164,-0.015010
14 Mar 2023 05:21:00.000,61.316,-19.147,1466.431061,-0.051527,0.011504,-0.016258
14 Mar 2023 05:22:00.000,58.224,-18.542,1465.423988,-0.051646,0.008857,-0.017313
14 Mar 2023 05:23:00.000,55.126,-18.073,1464.359763,-0.051743,0.006884,-0.018163
14 Mar 2023 05:24:00.000,52.022,-17.708,1463.251026,-0.051825,0.005378,-0.018797
14 Mar 2023 05:25:00.000,48.913,-17.423,1462.110955,-0.051897,0.004205,-0.019208
14 Mar 2023 05:26:00.000,45.801,-17.200,1460.953121,-0.051960,0.003276,-0.019389
14 Mar 2023 05:27:00.000,42.685,-17.027,1459.791322,-0.052017,0.002530,-0.019340
14 Mar 2023 05:28:00.000,39.566,-16.895,1458.639418,-0.052069,0.001925,-0.019059
14 Mar 2023 05:29:00.000,36.443,-16.795,1457.511171,-0.052116,0.001430,-0.018551
14 Mar 2023 05:30:00.000,33.318,-16.723,1456.420075,-0.052160,0.001022,-0.017821
14 Mar 2023 05:31:00.000,30.191,-16.672,1455.379195,-0.052199,0.000685,-0.016877
14 Mar 2023 05:32:00.000,27.061,-16.641,1454.401010,-0.052235,0.000406,-0.015731
14 Mar 2023 05:33:00.000,23.929,-16.624,1453.497257,-0.052268,0.000175,-0.014396
14 Mar 2023 05:34:00.000,20.796,-16.620,1452.678795,-0.052296,-0.000015,-0.012888
14 Mar 2023 05:35:00.000,17.661,-16.626,1451.955464,-0.052321,-0.000170,-0.011225
14 Mar 2023 05:36:00.000,14.524,-16.640,1451.335968,-0.052342,-0.000293,-0.009426
14 Mar 2023 05:37:00.000,11.386,-16.662,1450.827768,-0.052359,-0.000389,-0.007515
14 Mar 2023 05:38:00.000,8.248,-16.688,1450.436987,-0.052372,-0.000459,-0.005512
14 Mar 2023 05:39:00.000,5.108,-16.717,1450.168336,-0.052381,-0.000506,-0.003443
14 Mar 2023 05:40:00.000,1.969,-16.749,1450.025055,-0.052386,-0.000531,-0.001333
14 Mar 2023 05:41:00.000,-1.171,-16.781,1450.008872,-0.052386,-0.000533,0.000793
14 Mar 2023 05:42:00.000,-4.311,-16.813,1450.119983,-0.052383,-0.000514,0.002910
14 Mar 2023 05:43:00.000,-7.450,-16.843,1450.357047,-0.052375,-0.000473,0.004992
14 Mar 2023 05:44:00.000,-10.589,-16.871,1450.717205,-0.052363,-0.000409,0.007014
14 Mar 2023 05:45:00.000,-13.727,-16.893,1451.196115,-0.052347,-0.000320,0.008951
14 Mar 2023 05:46:00.000,-16.864,-16.909,1451.788005,-0.052327,-0.000204,0.010780
14 Mar 2023 05:47:00.000,-20.000,-16.918,1452.485747,-0.052303,-0.000057,0.012479
14 Mar 2023 05:48:00.000,-23.134,-16.917,1453.280942,-0.052275,0.000123,0.014029
14 Mar 2023 05:49:00.000,-26.266,-16.903,1454.164028,-0.052244,0.000343,0.015409
14 Mar 2023 05:50:00.000,-29.396,-16.876,1455.124392,-0.052209,0.000609,0.016605
14 Mar 2023 05:51:00.000,-32.525,-16.830,1456.150508,-0.052170,0.000931,0.017601
14 Mar 2023 05:52:00.000,-35.650,-16.764,1457.230070,-0.052128,0.001319,0.018386
14 Mar 2023 05:53:00.000,-38.773,-16.671,1458.350147,-0.052081,0.001790,0.018952
14 Mar 2023 05:54:00.000,-41.893,-16.548,1459.497339,-0.052031,0.002365,0.019290
14 Mar 2023 05:55:00.000,-45.010,-16.386,1460.657938,-0.051975,0.003071,0.019399
14 Mar 2023 05:56:00.000,-48.124,-16.177,1461.818091,-0.051913,0.003949,0.019276
14 Mar 2023 05:57:00.000,-51.233,-15.909,1462.963970,-0.051844,0.005053,0.018923
14 Mar 2023 05:58:00.000,-54.338,-15.567,1464.081930,-0.051765,0.006464,0.018345
14 Mar 2023 05:59:00.000,-57.438,-15.127,1465.158679,-0.051672,0.008302,0.017549
14 Mar 2023 06:00:00.000,-60.532,-14.560,1466.181425,-0.051560,0.010752,0.016545
14 Mar 2023 06:01:00.000,-63.618,-13.821,1467.138036,-0.051416,0.014113,0.015344
14 Mar 2023 06:02:00.000,-66.694,-12.842,1468.017172,-0.051225,0.018884,0.013962
14 Mar 2023 06:03:00.000,-69.757,-11.513,1468.808424,-0.050954,0.025963,0.012415
14 Mar 2023 06:04:00.000,-72.800,-9.651,1469.502430,-0.050541,0.037071,0.010720
14 Mar 2023 06:05:00.000,-75.810,-6.920,1470.090987,-0.049851,0.055831,0.008900
14 Mar 2023 06:06:00.000,-78.764,-2.644,1470.567142,-0.048559,0.090774,0.006973
14 Mar 2023 06:07:00.000,-81.601,4.715,1470.925273,-0.045719,0.164782,0.004965
14 Mar 2023 06:08:00.000,-84.153,19.135,1471.161154,-0.038041,0.343061,0.002898
14 Mar 2023 06:09:00.000,-85.852,49.637,1471.272000,-0.014696,0.684621,0.000797
14 Mar 2023 06:10:00.000,-85.575,91.860,1471.256506,0.022717,0.601362,-0.001314
14 Mar 2023 06:11:00.000,-83.573,117.483,1471.114854,0.040767,0.283482,-0.003409
14 Mar 2023 06:12:00.000,-80.923,129.554,1470.848715,0.046663,0.140649,-0.005463
14 Mar 2023 06:13:00.000,-78.048,135.928,1470.461228,0.048964,0.079885,-0.007454
14 Mar 2023 06:14:00.000,-75.077,139.731,1469.956968,0.050058,0.050199,-0.009356
14 Mar 2023 06:15:00.000,-72.057,142.204,1469.341888,0.050661,0.033831,-0.011148
14 Mar 2023 06:16:00.000,-69.008,143.912,1468.623256,0.051031,0.023943,-0.012808
14 Mar 2023 06:17:00.000,-65.942,145.142,1467.809569,0.051278,0.017546,-0.014317
14 Mar 2023 06:18:00.000,-62.863,146.055,1466.910455,0.051455,0.013183,-0.015656
14 Mar 2023 06:19:00.000,-59.775,146.747,1465.936562,0.051590,0.010082,-0.016809
14 Mar 2023 06:20:00.000,-56.679,147.279,1464.899438,0.051697,0.007804,-0.017764
14 Mar 2023 06:21:00.000,-53.578,147.692,1463.811390,0.051786,0.006084,-0.018507
14 Mar 2023 06:22:00.000,-50.472,148.015,1462.685345,0.051862,0.004758,-0.019030
14 Mar 2023 06:23:00.000,-47.361,148.267,1461.534699,0.051929,0.003715,-0.019327
14 Mar 2023 06:24:00.000,-44.247,148.463,1460.373154,0.051989,0.002884,-0.019394
14 Mar 2023 06:25:00.000,-41.129,148.615,1459.214561,0.052043,0.002213,-0.019229
14 Mar 2023 06:26:00.000,-38.008,148.730,1458.072752,0.052093,0.001666,-0.018834
14 Mar 2023 06:27:00.000,-34.885,148.816,1456.961375,0.052138,0.001217,-0.018214
14 Mar 2023 06:28:00.000,-31.759,148.877,1455.893730,0.052180,0.000846,-0.017376
14 Mar 2023 06:29:00.000,-28.630,148.917,1454.882610,0.052218,0.000539,-0.016330
14 Mar 2023 06:30:00.000,-25.499,148.941,1453.940142,0.052252,0.000285,-0.015088
14 Mar 2023 06:31:00.000,-22.366,148.951,1453.077643,0.052282,0.000075,-0.013664
14 Mar 2023 06:32:00.000,-19.232,148.950,1452.305478,0.052309,-0.000096,-0.012076
14 Mar 2023 06:33:00.000,-16.096,148.940,1451.632935,0.052332,-0.000235,-0.010343
14 Mar 2023 06:34:00.000,-12.959,148.922,1451.068111,0.052351,-0.000344,-0.008485
14 Mar 2023 06:35:00.000,-9.821,148.898,1450.617810,0.052366,-0.000427,-0.006525
14 Mar 2023 06:36:00.000,-6.682,148.870,1450.287459,0.052377,-0.000485,-0.004487
14 Mar 2023 06:37:00.000,-3.542,148.839,1450.081041,0.052384,-0.000521,-0.002394
14 Mar 2023 06:38:00.000,-0.402,148.807,1450.001046,0.052387,-0.000535,-0.000273
14 Mar 2023 06:39:00.000,2.738,148.774,1450.048439,0.052385,-0.000527,0.001852
14 Mar 2023 06:40:00.000,5.877,148.743,1450.222648,0.052379,-0.000497,0.003955
14 Mar 2023 06:41:00.000,9.016,148.714,1450.521572,0.052369,-0.000444,0.006010
14 Mar 2023 06:42:00.000,12.155,148.689,1450.941606,0.052355,-0.000368,0.007992
14 Mar 2023 06:43:00.000,15.292,148.670,1451.477688,0.052337,-0.000265,0.009878
14 Mar 2023 06:44:00.000,18.429,148.657,1452.123358,0.052315,-0.000135,0.011645
14 Mar 2023 06:45:00.000,21.564,148.653,1452.870842,0.052290,0.000028,0.013272
14 Mar 2023 06:46:00.000,24.697,148.660,1453.711148,0.052260,0.000227,0.014739
14 Mar 2023 06:47:00.000,27.828,148.680,1454.634173,0.052227,0.000469,0.016030
14 Mar 2023 06:48:00.000,30.957,148.716,1455.628832,0.052190,0.000762,0.017127
14 Mar 2023 06:49:00.000,34.084,148.772,1456.683192,0.052149,0.001115,0.018020
14 Mar 2023 06:50:00.000,37.209,148.851,1457.784616,0.052105,0.001543,0.018696
14 Mar 2023 06:51:00.000,40.330,148.958,1458.919918,0.052057,0.002062,0.019149
14 Mar 2023 06:52:00.000,43.449,149.099,1460.075525,0.052004,0.002699,0.019373
14 Mar 2023 06:53:00.000,46.564,149.283,1461.237635,0.051945,0.003485,0.019366
14 Mar 2023 06:54:00.000,49.675,149.520,1462.392388,0.051880,0.004467,0.019128
14 Mar 2023 06:55:00.000,52.783,149.823,1463.526026,0.051806,0.005712,0.018662
14 Mar 2023 06:56:00.000,55.885,150.211,1464.625061,0.051721,0.007318,0.017975
14 Mar 2023 06:57:00.000,58.982,150.709,1465.676430,0.051619,0.009433,0.017073
14 Mar 2023 06:58:00.000,62.073,151.355,1466.667653,0.051493,0.012290,0.015970
14 Mar 2023 06:59:00.000,65.154,152.204,1467.586976,0.051328,0.016273,0.014677
14 Mar 2023 07:00:00.000,68.224,153.340,1468.423506,0.051103,0.022047,0.013210
14 Mar 2023 07:01:00.000,71.278,154.905,1469.167345,0.050772,0.030840,0.011587
14 Mar 2023 07:02:00.000,74.307,157.144,1469.809694,0.050245,0.045116,0.009827
14 Mar 2023 07:03:00.000,77.293,160.526,1470.342964,0.049317,0.070343,0.007950
14 Mar 2023 07:04:00.000,80.200,166.054,1470.760856,0.047446,0.120254,0.005980
14 Mar 2023 07:05:00.000,82.930,176.167,1471.058438,0.042911,0.233741,0.003940
14 Mar 2023 07:06:00.000,85.173,-162.746,1471.232198,0.029393,0.504834,0.001853
14 Mar 2023 07:07:00.000,86.004,-123.012,1471.280087,-0.004903,0.737870,-0.000256
14 Mar 2023 07:08:00.000,84.709,-87.365,1471.201539,-0.034221,0.419627,-0.002362
14 Mar 2023 07:09:00.000,82.294,-69.872,1470.997482,-0.044458,0.196288,-0.004440
14 Mar 2023 07:10:00.000,79.505,-61.246,1470.670322,-0.048044,0.104486,-0.006466
14 Mar 2023 07:11:00.000,76.574,-56.383,1470.223920,-0.049599,0.062702,-0.008415
14 Mar 2023 07:12:00.000,73.575,-53.342,1469.663546,-0.050399,0.040931,-0.010265
14 Mar 2023 07:13:00.000,70.539,-51.298,1468.995819,-0.050865,0.028326,-0.011994
14 Mar 2023 07:14:00.000,67.480,-49.855,1468.228631,-0.051165,0.020428,-0.013581
14 Mar 2023 07:15:00.000,64.407,-48.798,1467.371056,-0.051373,0.015174,-0.015007
14 Mar 2023 07:16:00.000,61.323,-48.005,1466.433246,-0.051526,0.011511,-0.016255
14 Mar 2023 07:17:00.000,58.231,-47.399,1465.426315,-0.051646,0.008862,-0.017311
14 Mar 2023 07:18:00.000,55.133,-46.930,1464.362205,-0.051743,0.006888,-0.018161
14 Mar 2023 07:19:00.000,52.029,-46.565,1463.253552,-0.051825,0.005381,-0.018796
14 Mar 2023 07:20:00.000,48.920,-46.280,1462.113537,-0.051897,0.004207,-0.019207
14 Mar 2023 07:21:00.000,45.808,-46.057,1460.955728,-0.051960,0.003278,-0.019389
14 Mar 2023 07:22:00.000,42.692,-45.884,1459.793921,-0.052017,0.002532,-0.019340
14 Mar 2023 07:23:00.000,39.573,-45.752,1458.641980,-0.052069,0.001927,-0.019060
14 Mar 2023 07:24:00.000,36.450,-45.652,1457.513665,-0.052116,0.001431,-0.018552
14 Mar 2023 07:25:00.000,33.325,-45.579,1456.422471,-0.052160,0.001023,-0.017823
14 Mar 2023 07:26:00.000,30.198,-45.529,1455.381464,-0.052199,0.000686,-0.016879
14 Mar 2023 07:27:00.000,27.068,-45.497,1454.403124,-0.052235,0.000406,-0.015734
14 Mar 2023 07:28:00.000,23.936,-45.480,1453.499193,-0.052268,0.000175,-0.014399
14 Mar 2023 07:29:00.000,20.803,-45.476,1452.680528,-0.052296,-0.000015,-0.012891
14 Mar 2023 07:30:00.000,17.668,-45.482,1451.956973,-0.052321,-0.000169,-0.011228
14 Mar 2023 07:31:00.000,14.531,-45.497,1451.337235,-0.052342,-0.000293,-0.009431
14 Mar 2023 07:32:00.000,11.393,-45.518,1450.828778,-0.052359,-0.000388,-0.007519
14 Mar 2023 07:33:00.000,8.255,-45.544,1450.437728,-0.052372,-0.000459,-0.005517
14 Mar 2023 07:34:00.000,5.115,-45.573,1450.168799,-0.052381,-0.000506,-0.003448
14 Mar 2023 07:35:00.000,1.976,-45.605,1450.025234,-0.052386,-0.000531,-0.001338
14 Mar 2023 07:36:00.000,-1.164,-45.638,1450.008766,-0.052386,-0.000533,0.000789
14 Mar 2023 07:37:00.000,-4.304,-45.670,1450.119592,-0.052383,-0.000514,0.002906
14 Mar 2023 07:38:00.000,-7.443,-45.700,1450.356376,-0.052375,-0.000473,0.004988
14 Mar 2023 07:39:00.000,-10.582,-45.727,1450.716262,-0.052363,-0.000409,0.007009
14 Mar 2023 07:40:00.000,-13.720,-45.749,1451.194912,-0.052347,-0.000320,0.008947
14 Mar 2023 07:41:00.000,-16.857,-45.766,1451.786556,-0.052327,-0.000204,0.010776
14 Mar 2023 07:42:00.000,-19.993,-45.774,1452.484070,-0.052303,-0.000058,0.012476
14 Mar 2023 07:43:00.000,-23.127,-45.773,1453.279057,-0.052275,0.000122,0.014025
14 Mar 2023 07:44:00.000,-26.259,-45.760,1454.161956,-0.052244,0.000342,0.015406
14 Mar 2023 07:45:00.000,-29.389,-45.732,1455.122160,-0.052209,0.000608,0.016602
14 Mar 2023 07:46:00.000,-32.518,-45.687,1456.148142,-0.052170,0.000930,0.017599
14 Mar 2023 07:47:00.000,-35.643,-45.620,1457.227598,-0.052128,0.001318,0.018385
14 Mar 2023 07:48:00.000,-38.766,-45.528,1458.347599,-0.052081,0.001789,0.018951
14 Mar 2023 07:49:00.000,-41.886,-45.405,1459.494746,-0.052031,0.002364,0.019290
14 Mar 2023 07:50:00.000,-45.003,-45.243,1460.655330,-0.051975,0.003070,0.019399
14 Mar 2023 07:51:00.000,-48.117,-45.034,1461.815500,-0.051914,0.003947,0.019276
14 Mar 2023 07:52:00.000,-51.226,-44.767,1462.961426,-0.051845,0.005050,0.018924
14 Mar 2023 07:53:00.000,-54.331,-44.424,1464.079464,-0.051766,0.006460,0.018346
14 Mar 2023 07:54:00.000,-57.431,-43.985,1465.156319,-0.051673,0.008297,0.017551
14 Mar 2023 07:55:00.000,-60.525,-43.418,1466.179201,-0.051560,0.010746,0.016547
14 Mar 2023 07:56:00.000,-63.611,-42.679,1467.135973,-0.051417,0.014104,0.015347
14 Mar 2023 07:57:00.000,-66.687,-41.701,1468.015295,-0.051226,0.018871,0.013965
14 Mar 2023 07:58:00.000,-69.750,-40.373,1468.806754,-0.050955,0.025943,0.012418
14 Mar 2023 07:59:00.000,-72.793,-38.512,1469.500989,-0.050542,0.037040,0.010724
14 Mar 2023 08:00:00.000,-75.803,-35.784,1470.089791,-0.049853,0.055776,0.008904
14 Mar 2023 08:01:00.000,-78.757,-31.513,1470.566204,-0.048563,0.090665,0.006978
14 Mar 2023 08:02:00.000,-81.595,-24.163,1470.924605,-0.045729,0.164537,0.004970
14 Mar 2023 08:03:00.000,-84.148,-9.768,1471.160764,-0.038070,0.342456,0.002903
14 Mar 2023 08:04:00.000,-85.850,20.689,1471.271893,-0.014776,0.683964,0.000802
14 Mar 2023 08:05:00.000,-85.578,62.923,1471.256683,0.022650,0.602195,-0.001309
14 Mar 2023 08:06:00.000,-83.579,88.588,1471.115312,0.040746,0.283971,-0.003404
14 Mar 2023 08:07:00.000,-80.929,100.679,1470.849449,0.046655,0.140848,-0.005459
14 Mar 2023 08:08:00.000,-78.054,107.061,1470.462230,0.048961,0.079976,-0.007449
14 Mar 2023 08:09:00.000,-75.083,110.868,1469.958225,0.050057,0.050247,-0.009352
14 Mar 2023 08:10:00.000,-72.063,113.343,1469.343386,0.050660,0.033858,-0.011144
14 Mar 2023 08:11:00.000,-69.015,115.053,1468.624977,0.051030,0.023960,-0.012805
14 Mar 2023 08:12:00.000,-65.949,116.283,1467.811493,0.051277,0.017557,-0.014313
14 Mar 2023 08:13:00.000,-62.870,117.197,1466.912559,0.051455,0.013191,-0.015653
14 Mar 2023 08:14:00.000,-59.782,117.889,1465.938822,0.051589,0.010088,-0.016807
14 Mar 2023 08:15:00.000,-56.686,118.421,1464.901826,0.051697,0.007808,-0.017762
14 Mar 2023 08:16:00.000,-53.585,118.835,1463.813877,0.051786,0.006088,-0.018506
14 Mar 2023 08:17:00.000,-50.479,119.158,1462.687903,0.051862,0.004760,-0.019029
14 Mar 2023 08:18:00.000,-47.368,119.410,1461.537297,0.051929,0.003718,-0.019327
14 Mar 2023 08:19:00.000,-44.254,119.607,1460.375761,0.051989,0.002886,-0.019394
14 Mar 2023 08:20:00.000,-41.136,119.758,1459.217146,0.052043,0.002215,-0.019229
14 Mar 2023 08:21:00.000,-38.015,119.874,1458.075284,0.052093,0.001667,-0.018835
14 Mar 2023 08:22:00.000,-34.892,119.959,1456.963823,0.052138,0.001218,-0.018216
14 Mar 2023 08:23:00.000,-31.766,120.020,1455.896066,0.052180,0.000847,-0.017378
14 Mar 2023 08:24:00.000,-28.637,120.061,1454.884806,0.052218,0.000540,-0.016332
14 Mar 2023 08:25:00.000,-25.506,120.085,1453.942171,0.052252,0.000285,-0.015091
14 Mar 2023 08:26:00.000,-22.373,120.095,1453.079480,0.052282,0.000076,-0.013667
14 Mar 2023 08:27:00.000,-19.239,120.094,1452.307101,0.052309,-0.000096,-0.012080
14 Mar 2023 08:28:00.000,-16.103,120.083,1451.634326,0.052332,-0.000234,-0.010347
14 Mar 2023 08:29:00.000,-12.966,120.065,1451.069252,0.052351,-0.000344,-0.008490
14 Mar 2023 08:30:00.000,-9.828,120.041,1450.618687,0.052366,-0.000427,-0.006530
14 Mar 2023 08:31:00.000,-6.689,120.013,1450.288062,0.052377,-0.000485,-0.004491
14 Mar 2023 08:32:00.000,-3.549,119.983,1450.081363,0.052384,-0.000521,-0.002399
14 Mar 2023 08:33:00.000,-0.409,119.950,1450.001083,0.052387,-0.000535,-0.000277
14 Mar 2023 08:34:00.000,2.731,119.918,1450.048190,0.052385,-0.000527,0.001848
14 Mar 2023 08:35:00.000,5.870,119.887,1450.222117,0.052379,-0.000497,0.003950
14 Mar 2023 08:36:00.000,9.009,119.858,1450.520765,0.052369,-0.000444,0.006005
14 Mar 2023 08:37:00.000,12.148,119.833,1450.940532,0.052355,-0.000368,0.007988
14 Mar 2023 08:38:00.000,15.285,119.813,1451.476360,0.052337,-0.000266,0.009874
14 Mar 2023 08:39:00.000,18.422,119.801,1452.121793,0.052315,-0.000135,0.011641
14 Mar 2023 08:40:00.000,21.557,119.797,1452.869059,0.052290,0.000028,0.013269
14 Mar 2023 08:41:00.000,24.690,119.804,1453.709167,0.052260,0.000227,0.014736
14 Mar 2023 08:42:00.000,27.821,119.824,1454.632019,0.052227,0.000469,0.016027
14 Mar 2023 08:43:00.000,30.950,119.860,1455.626530,0.052190,0.000761,0.017125
14 Mar 2023 08:44:00.000,34.077,119.915,1456.680770,0.052150,0.001114,0.018018
14 Mar 2023 08:45:00.000,37.202,119.994,1457.782102,0.052105,0.001542,0.018695
14 Mar 2023 08:46:00.000,40.323,120.101,1458.917344,0.052057,0.002061,0.019148
